,Name,Position,Current Team,Type,All Teams
84,Michael Vick,QB,-,Legend PU,",ATL,PHI,NYJ,PIT"
85,Deion Sanders,CB,-,Legend PU,",ATL,SF,DAL,WAS,BAL"
86,Ray Lewis,MLB,-,Captain,",BAL"
87,Jonathan Ogden,LT,-,Legend PU,",BAL"
88,Bruce Smith,RE,-,Legend PU,",BUF,WAS"
89,Brian Urlacher,MLB,-,HoF,",CHI"
90,DeMarcus Ware,LOLB,-,Legend PU,",DAL,DEN"
91,Larry Allen,RG,-,Legend PU,",DAL,SF"
92,Terrell Davis,HB,-,HoF,",DEN"
93,Shannon Sharpe,TE,-,Captain,",DEN,BAL"
94,Barry Sanders,HB,-,Legend PU,",DET"
95,Ted Hendricks,LOLB,-,Legend PU,",IND,GB,OAK"
96,Tony Gonzalez,TE,-,Legend PU,",KC,ATL"
97,Kevin Greene,LOLB,-,Legend PU,",LAR,PIT,CAR,SF"
98,Dan Marino,QB,-,HoF,",MIA"
99,Randy Moss,WR,-,Legend PU,",MIN,OAK,NE,TEN,SF"
100,John Randle,DT,-,Legend PU,",MIN,SEA"
101,Willie Roaf,LT,-,Legend PU,",NO,KC"
102,Ricky Williams,HB,-,Master,",NO,MIA,BAL"
103,Lorenzo Neal,FB,-,Legend PU,",NO,NYJ,TB,TEN,CIN,LAC,BAL"
104,Michael Strahan,LE,-,Captain,",NYG"
105,Lawrence Taylor,ROLB,-,Legend PU,",NYG"
106,Tim Brown,WR,-,Legend PU,",OAK,TB"
107,Donovan McNabb,QB,-,Legend PU,",PHI,MIN"
108,Brian Dawkins,SS,-,Legend PU,",PHI,DEN"
109,Reggie White,LE,-,Legend PU,",PHI,GB,CAR"
110,Rod Woodson,CB,-,HoF,",PIT,SF,BAL,OAK"
111,Steve Hutchinson,LG,-,Legend PU,",SEA,MIN,TEN"
112,Jerry Rice,WR,-,Captain,",SF,OAK,SEA"
113,Terell Owens,WR,-,HoF,",SF,PHI,DAL,BUF,CIN"
114,Derrick Brooks,ROLB,-,Legend PU,",TB"
115,Steve Young,QB,-,Legend PU,",TB,SF"
116,Eddie George,HB,-,Legend PU,",TEN"
117,Sean Taylor,FS,-,Legend PU,",WAS"
118,Champ Bailey,CB,-,Legend PU,",WAS,DEN"
119,David Andrews,C,NE,Power Up,NE
120,Tom Brady,QB,NE,Power Up,NE
121,James Develin,FB,NE,Power Up,NE
122,Julian Edelman,WR,NE,Power Up,NE
123,Rob Gronkowski,TE,NE,Power Up,NE
124,Devin McCourty,FS,NE,Power Up,NE
125,Dont'a Hightower,LOLB,NE,Power Up,NE
126,Stephon Gilmore,CB,NE,Power Up,"NE,BUF"
127,Cameron Jordan,LE,NO,Power Up,NO
128,Alvin Kamara,HB,NO,Power Up,NO
129,Marson Lattimore,CB,NO,Power Up,NO
130,Ryan Ramczyk,RT,NO,Power Up,NO
131,Michael Thomas,WR,NO,Power Up,NO
132,Drew Brees,QB,NO,Power Up,"NO,LAC"
133,Demario Davis,MLB,NO,Power Up,"NO,NYJ,CLE"
134,Odell Beckham Jr,WR,NYG,Power Up,NYG
135,Landon Collins,SS,NYG,Power Up,NYG
136,Janoris Jenkins,CB,NYG,Power Up,"NYG,LAR"
137,Damon Harrison Sr,DT,NYG,Power Up,"NYG,NYJ"
138,Jamal Adams,SS,NYJ,Power Up,NYJ
139,Trumaine Johnson,CB,NYJ,Power Up,"NYJ,LAR"
140,Amari Cooper,WR,OAK,Power Up,OAK
141,Khalil Mack,LE,CHI,Power Up,"CHI,OAK"
142,Derek Carr,QB,OAK,Power Up,OAK
143,Kelechi Osemele,LG,OAK,Power Up,"OAK,BAL"
144,Rodney Hudson,C,OAK,Power Up,"OAK,KC"
145,Rashaan Melvin,CB,OAK,Power Up,"OAK,TB,BAL,NE,IND"
146,Fletcher Cox,DT,PHI,Power Up,PHI
147,Zach Ertz,TE,PHI,Power Up,PHI
148,Brandon Graham,LE,PHI,Power Up,PHI
149,Jordan Hicks,MLB,PHI,Power Up,PHI
150,Lane Johnson,RT,PHI,Power Up,PHI
151,Jason Kelce,C,PHI,Power Up,PHI
152,Carson Wentz,QB,PHI,Power Up,PHI
153,Nigel Bradham,LOLB,PHI,Power Up,"PHI,BUF"
154,Jason Peters,LT,PHI,Power Up,"PHI,BUF"
155,Malcom Jenkins,SS,PHI,Power Up,"PHI,NO"
156,Ryan Shazier,MLB,PIT,Master,PIT
157,Le'Veon Bell,HB,PIT,Power Up,PIT
158,Antonio Brown,WR,PIT,Power Up,PIT
159,David DeCastro,RG,PIT,Power Up,PIT
160,Marcus Gilbert,RT,PIT,Power Up,PIT
161,Ben Roethlisberger,QB,PIT,Power Up,PIT
162,Doug Baldwin,WR,SEA,Power Up,SEA
163,Kam Chancellor,SS,SEA,Power Up,SEA
164,Earl Thomas III,FS,SEA,Power Up,SEA
165,Bobby Wagner,MLB,SEA,Power Up,SEA
166,Russell Wilson,QB,SEA,Power Up,SEA
167,Kyle Juszczyk,FB,SF,Power Up,"SF,BAL"
168,Richard Sherman,CB,SF,Power Up,"SF,SEA"
169,Lavonte David,ROLB,TB,Power Up,TB
170,Demar Dotson,RT,TB,Power Up,TB
171,Mike Evans,WR,TB,Power Up,TB
172,Gerald McCoy,DT,TB,Power Up,TB
173,Brent Grimes,CB,TB,Power Up,"TB,ATL,MIA"
174,Kevin Byard,FS,TEN,Power Up,TEN
175,Jurell Casey,RE,TEN,Power Up,TEN
176,Taylor Lewan,LT,TEN,Power Up,TEN
177,Malcolm Butler,CB,TEN,Power Up,"TEN,NE"
178,Delanie Walker,TE,TEN,Power Up,"TEN,SF"
179,Ryan Kerrigan,LOLB,WAS,Power Up,WAS
180,Jordan Reed,TE,WAS,Power Up,WAS
181,Brandon Scherff,RG,WAS,Power Up,WAS
182,Trent Williams,LT,WAS,Power Up,WAS
183,Zach Brown,MLB,WAS,Power Up,"WAS,TEN,BUF"
184,Ronde Barber,CB,-,Legend PU,",TB"
185,Dermontti Dawson,C,-,Legend PU,",PIT"
186,Paul Krause,FS,-,Legend PU,"WAS,MIN"
187,Franco Harris,FB,-,Legend PU,"PIT,SEA"
188,Willie McGinest,ROLB,-,Legend PU,NE
189,Jeremy Shockey,TE,-,Legend PU,"NYG,NO,CAR"
190,Marshawn Lynch,RB,OAK,Power Up,"OAK,BUF,SEA"
191,Demarcus Lawrence,LE,DAL,Power Up,DAL
192,Dontari Poe,DT,CAR,Power Up,"KC,ATL,CAR"
193,Emmanuel Sanders,WR,DEN,Power Up,"DEN,PIT"
194,Christian McCaffrey ,RB,CAR,Power Up,CAR
195,Brandin Cooks,WR,LAR,Power Up,"NO,NE,LAR"
196,T.J. Watt,ROLB,PIT,Power Up,PIT
197,Alshon Jeffery,WR,PHI,Power Up,"CHI,PHI"
198,Jevon Kearse,LE,-,Legend PU,"TEN,PHI"
199,Willie Anderson,RT,-,Legend PU,"CIN,BAL"
200,Ty Law,CB,-,Legend PU,"NE,NYJ,KC,DEN"
201,LaDainian Tomlinson,RB,-,Legend PU,"LAC,NYJ"
202,Bruce Matthews,C,-,Legend PU,TEN
203,Alan Page,DT,-,Legend PU,"MIN,CHI"
