,Name,POS,Teams,numTeams
49,Julian Edelman,WR,",NE",1.0
50,Ezekiel Elliott,HB,Dal,1.0
51,Zach Ertz,TE,Phi,1.0
52,Mike Evans,WR,TB,1.0
53,Larry Fitzgerald,WR,Ari,1.0
54,Leonard Fournette,HB,Jax,1.0
55,Travis Frederick,C,Dal,1.0
56,Devonta Freeman,HB,Atl,1.0
57,Marcus Gilbert,RT,Pit,1.0
58,Stephon Gilmore,CB,"Buf,NE",2.0
59,Melvin Gordon,HB,"SD,LAC",1.0
60,Brandon Graham,LE,Phi,1.0
61,Jimmy Graham,TE,"NO,Sea,GB",3.0
62,A.J. Green,WR,Cin,1.0
63,Everson Griffen,RE,Min,1.0
64,Brent Grimes,CB,"Atl,Mia,TB,NFLEHam",3.0
65,Rob Gronkowski,TE,NE,1.0
66,Todd Gurley II,HB,0,1.0
67,Chris Harris Jr,CB,0,1.0
68,Damon Harrison Sr,DT,0,2.0
69,Casey Hayward,CB,"GB,SD,LAC",2.0
70,Hunter Henry,TE,"SD,LAC",1.0
71,Jordan Hicks,MLB,Phi,1.0
72,Tyreek Hill,WR,KC,1.0
73,T.Y. Hilton,WR,Ind,1.0
74,DeAndre Hopkins,WR,Hou,1.0
75,Justin Houston,LOLB,KC,1.0
76,Jordan Howard,HB,Chi,1.0
77,Rodney Hudson,C,"KC,Oak",2.0
78,Kareem Hunt,HB,KC,1.0
79,Micah Hyde,SS,"GB,Buf",2.0
80,Melvin Ingram,RE,"SD,LAC",1.0
81,Myles Jack,LOLB,Jax,1.0
82,Janoris Jenkins,CB,"Stl,NYG",2.0
83,Malcolm Jenkins,SS,"NO,Phi",2.0
84,David Johnson,HB,Ari,1.0
85,Lane Johnson,RT,0,1.0
86,Trumaine Johnson,CB,0,2.0
87,Deion Jones,MLB,Atl,1.0
88,Julio Jones,WR,Atl,1.0
89,Reshad Jones,SS,0,1.0
90,Cameron Jordan,LE,NO,1.0
91,Linval Joseph,DT,"NYG,Min",2.0
92,Lamarcus Joyner,FS,"Stl,LA",1.0
93,Kyle Juszczyk,FB,"Bal,SF",2.0
94,Alvin Kamara,HB,NO,1.0
95,Jason Kelce,C,Phi,1.0
96,Travis Kelce,TE,KC,1.0
97,Ryan Kerrigan,LOLB,Was,1.0
98,Luke Kuechly,MLB,Car,1.0
99,Jarvis Landry,WR,"Mia,Cle",2.0
100,Marshon Lattimore,CB,NO,1.0
101,Sean Lee,ROLB,",Dal",1.0
102,Taylor Lewan,LT,Ten,1.0
103,Andrew Luck,QB,",Ind",1.0
104,Alex Mack,C,"Cle,Atl",2.0
105,Khalil Mack,LE,Oak,1.0
106,Zack Martin,RG,Dal,1.0
107,Tyrann Mathieu,FS,"Ari,Hou",2.0
108,Devin McCourty,FS,NE,1.0
109,Gerald McCoy,DT,TB,1.0
110,Rashaan Melvin,CB,"TB,Bal,NE,Ind,Oak",5.0
111,Von Miller,LOLB,Den,1.0
112,Cam Newton,QB,Car,1.0
113,Andrew Norwell,LG,"Car,Jax",2.0
114,Greg Olsen,TE,"Chi,Car",2.0
115,Kelechi Osemele,LG,"Bal,Oak",2.0
116,Jason Peters,LT,"Buf,,Phi",2.0
117,Marcus Peters,CB,"KC,LA",2.0
118,Patrick Peterson,CB,Ari,1.0
119,Ryan Ramczyk,RT,NO,1.0
120,Jalen Ramsey,CB,Jax,1.0
121,Jordan Reed,TE,Was,1.0
122,Xavier Rhodes,CB,Min,1.0
123,Aaron Rodgers,QB,GB,1.0
124,Ben Roethlisberger,QB,Pit,1.0
125,Matt Ryan,QB,Atl,1.0
126,Brandon Scherff,RG,Was,1.0
127,Jabaal Sheard,RE,"Cle,NE,Ind",3.0
128,Richard Sherman,CB,"Sea,SF",2.0
129,Kawann Short,DT,Car,1.0
130,Josh Sitton,LG,"GB,Chi,Mia",3.0
131,Darius Slay Jr,CB,0,1.0
132,Harrison Smith,FS,Min,1.0
133,Jimmy Smith,CB,0,1.0
134,Telvin Smith,ROLB,0,1.0
135,Tyron Smith,LT,0,1.0
136,Matthew Stafford,QB,Det,1.0
137,Terrell Suggs,ROLB,Bal,1.0
138,Ndamukong Suh,DT,"Det,Mia,LA",3.0
139,Golden Tate III,WR,0,2.0
140,Adam Thielen,WR,Min,1.0
141,Demaryius Thomas,WR,Den,1.0
142,Earl Thomas III,FS,0,1.0
143,Michael Thomas,WR,NO,1.0
144,Danny Trevathan,MLB,"Den,Chi",2.0
145,Desmond Trufant,CB,Atl,1.0
146,Bobby Wagner,MLB,Sea,1.0
147,Delanie Walker,TE,"SF,Ten",2.0
148,J.J. Watt,LE,Hou,1.0
149,Carson Wentz,QB,Phi,1.0
150,Daryl Williams,RT,Car,1.0
151,Trent Williams,LT,0,1.0
152,Russell Wilson,QB,Sea,1.0
153,Marshal Yanda,RG,Bal,1.0
154,Kevin Zeitler,RG,"Cin,Cle",2.0
155,Terrell Davis,RB,Den,1.0
156,Dan Marino,QB,Mia,1.0
157,Terrell Owens,WR,"SF, Phi, Dal, Buf, Cin",5.0
158,Brian Urlacher,MLB,Chi,1.0
159,Rod Woodson,CB,"Pit, SF, Bal, Oak",4.0
160,Demarcus Ware,ROLB,"Dal, Den",2.0
161,Tim Brown,WR,"Oak, TB",2.0
162,Ray Lewis,MLB,Bal,1.0
163,Jerry Rice,WR,"SF, Oak, Sea",3.0
164,Shannon Sharpe,TE,"Den, Bal",2.0
165,Michael Strahan,LE,NYG,1.0
166,Aeneas Williams,CB,0,0.0
167,Tony Gonzalez,TE,0,0.0
168,Barry Sanders,RB,0,0.0
169,Brian Dawkins,FS,0,0.0
